jumlah_dosen,univ_name
56,STMIK Atma Luhur
22,STKIP Al Islam Tunas Bangsa
33,STKIP Muhammadiyah Bangka Belitung
0,STIE Prakarti Mulya
29,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Kumala Lampung
5,STISIP Bina Marta
32,STIKES Aisyiyah Palembang
17,STMIK MBC Palembang
10,STKIP Tunas Palapa
16,STIA Bala Putra Dewa
5,Sekolah Tinggi Ilmu Ekonomi Krakatau
0,Sekolah Tinggi Teknologi Bengkulu
0,Akademi Akuntansi Sjakhyakirti
12,Akademi Sekretari Dan Manajemen Sriwijaya
24,AMIK Sigma
9,Akademi Pariwisata Satu Nusa
0,Akademi Manajemen Informatika & Komputer Starteck
7,Akademi Akuntansi Lampung
19,AMIK Mitra Lampung
0,Akademi Akuntansi Unggulan SMB Palembang
13,Akademi Perikanan Bhima Sakti
9,Akademi Bahasa Asing Dian Cipta Cendikia 
0,Akademi Akuntansi Bhakti
0,Akademi Pariwisata Widya Dharma
23,Akademi Akuntansi Dan Manajemen Mitra Lampung
33,AMIK Master Lampung
5,Akademi Analis Kesehatan Widya Dharma
52,AMIK Dian Cipta Cendikia
11,Apikes Widya Dharma
7,Akademi Keuangan Dan Bank Mulia Darma Pratama
13,Akademi Manajemen Informatika Dan Komputer Lampung
0,Akademi Sains Dan Teknologi Pembangunan
0,AMIK Teknokrat
10,Akd Teknik Radiodiag. Dan Radioterapi Widya Dharma
11,Akademi Manajemen Belitung
9,AMIK Lembah Dempo
14,Akademi Manajemen Informatika Dan Komputer Mdp
8,Akademi Bahasa Asing Bina Insan Indonesia
0,Akademi Perikanan Wachyuni Mandira
0,AMIK Atma Luhur
45,AMIK AKMI
7,Akademi Perpajakan Tridarma
10,Akademi Kebidanan Wira Buana
9,Akademi Analis Kesehatan Harapan Bangsa
0,Akademi Kebidanan Aisyiyah Palembang
27,Akademi Kebidanan Budi Mulia Palembang
9,Akademi Maritim Bina Bahari
13,Akademi Kebidanan Panca Bhakti
16,AKTEK Radiodiagnostik & Radioterapi Patriot Bangsa
7,Akademi Kebidanan Heppy Zal
8,Akademi Teknologi Pringsewu
15,Akademi Kebidanan Patriot Bangsa Husada
12,Akademi Kebidanan Nusantara Palembang
8,Akademi Kebidanan Hampar Baiduri
8,Akademi Keperawatan Malahayati Bandar Lampung
11,Akademi Keperawatan Baitul Hikmah
13,Akademi Keperawatan Panca Bhakti
12,Akademi Keperawatan Dharma Wacana
11,Akademi Keperawatan Bunda Delima
17,Akademi Kebidanan Al-Sua Ibah Palembang
21,Akademi Kebidanan Adila
6,Akademi Kebidanan Wahana Husada Bandar Jaya
0,Akademi Keperawatan Muhammadiyah Pringsewu
10,Akademi Kebidanan Persada Palembang
12,Akbid Gemilang Husada Kotabumi
7,Akademi Kebidanan Bangka Belitung
14,Akademi Kebidanan Rizki Patya
15,Akademi Kebidanan Manna
0,Akademi Kebidanan Muhammadiyah Pringsewu
15,Akademi Kebidanan Abdurahman
8,Akademi Kebidanan Tunas Harapan Bangsa
11,Akademi Kebidanan An-Nur Husada Walisongo
12,Akademi Kebidanan Nusantara Indonesia Lubuklinggau
9,Akademi Kebidanan Alifa Pringsewu Lampung
24,Akademi Farmasi Yayasan Al-Fatah
4,Akademi Kebidanan Sungailiat Bangka
27,AMIK Bina Sriwijaya
0,Akademi Kebidanan Dehasen Bengkulu
10,Akademi Kebidanan Bunga Bangsaku Bangka
3,Akademi Bahasa Asing Dian Cipta Cendikia Kotabumi
